Actual_quantity,Country,Created_date,Invoice_date,Master_data,Old_SKU_name,Requested_date,SKU_number,Shipped_date,Supplier
,,,,['recjRabZQfDFsCRCw'],,,"eBike caliper marathon+ 4,4Ah batteryVINTAGE GREEN GLOSSY, white decal, brown grip and saddle(for Belgium ONLY: BEBAT included)",,
1,Belgium,16/04/2019,16/04/2019,,Ahooga Folding Bike - Hybrid/Style+ - Jaw Drop Charcoal,16/04/2019,AH-FOL-HYB STYLE,16/04/2019,
1,Belgium,15/05/2019,15/05/2019,,VINCITA BLACK Bag,15/05/2019,IAG-B207AH-BL-REV1,15/05/2019,
1,Belgium,27/07/2019,27/07/2019,,Ahooga Folding Bike - Power+ - OMG Silver (Currently 10-12 weeks),27/07/2019,AH-FOL-POW,27/07/2019,
1,Belgium,12/06/2019,12/06/2019,,BLACK COMFY Saddle,12/06/2019,A1-7007,12/06/2019,UBW
,,,,['recahCuSAg28WDqmm'],,,Brooks Island Helmet White/Lime M,,
1,Belgium,29/05/2019,29/05/2019,,Custom color,29/05/2019,AH-POW-COL,29/05/2019,
,,,,['rec3IfLc1MCQCFVIZ'],,,Brochures (25+25),,
1,France,07/02/2019,07/02/2019,,"Push Bike caliper marathon+ WHITE MAT, dark grey decal, brown grip and saddle",07/02/2019,Push B-C-M+ WHITE,07/02/2019,Ahooga Sprl
1,Belgium,23/05/2019,23/05/2019,,Selle Royale Scientia M2,23/05/2019,Scientia M2,23/05/2019,SELLE ROYAL
,,,,['recCoFwRcnuBhIf7D'],,,Marketing Kit Premium Dealer,,
1,Belgium,17/01/2019,17/01/2019,,ASS SAVER WIDE BLACK,17/01/2019,121385,17/01/2019,AGU
1,Belgium,16/07/2019,16/07/2019,,Hybrid Battery 24V/7Ah UPGRADE,16/07/2019,AH-FOL-HYB-BAT-7Ah UPGRADE,16/07/2019,UBW ZRT
1,Belgium,26/07/2019,26/07/2019,,Selle Royal Scientia R3,26/07/2019,Scientia R3,26/07/2019,SELLE ROYAL
