,Actual_quantity,Customer,Product_group,Product_family,Country,New_SKU_Name,Created_date_month,Created_date_year
447,1,,Bike,Power 36V,Belgium,Ahooga Folding Bike - Power+ - OMG Silver,6,2019
448,1,,Component,Other,Belgium,Other,6,2019
449,1,,Component,Other,Belgium,Other,4,2019
450,1,HARTJE,Component,Other,Belgium,Other,4,2019
451,2,,Component,Other,Belgium,Other,6,2019
452,1,,Component,Other,France,Other,5,2019
453,1,,Component,Other,Belgium,Other,1,2019
454,1,,Component,Other,Belgium,Other,7,2019
455,1,AGU,Component,Other,Belgium,Other,1,2019
456,1,UBW ZRT,Component,Other,Luxembourg,Other,4,2019
457,1,ROOL IN,Component,Other,Belgium,Other,7,2019
458,1,BUSCH &amp; MULLER,Component,Other,Belgium,Other,4,2019
459,1,UBW ZRT,Component,Other,Belgium,Other,1,2019
460,2,,Component,Other,Belgium,Other,6,2019
461,1,,Component,Other,Belgium,Other,1,2019
462,1,AGU,Component,Other,Belgium,Other,1,2019
463,1,,Component,Other,Belgium,Other,6,2019
464,1,,Component,Other,Netherlands,Other,7,2019
465,1,,Component,Other,Belgium,Other,5,2019
466,1,DPD,Bike,Hybrid 24V,Luxembourg,Ahooga Folding Bike - Hybrid/Comfort+ - Wall Mc Blue,3,2019
467,1,,Component,Other,Belgium,Other,6,2019
468,1,DPD,Component,Other,Belgium,Other,1,2019
469,1,,Component,Other,Belgium,Other,6,2019
470,1,,Component,Other,Belgium,Other,5,2019
471,1,NOWCOMPANY,Bike,Power 36V,Belgium,Ahooga Folding Bike - Power+ - OMG Silver,3,2019
